hash,block,from,to,value (ETH),gas used,gas price (Gwei),tx fee (ETH),timestamp,success
0x244962fde16969e3ec5a1d4d3e31306ce8e656acef617ea7ac4714e94f06cddb,21116733,0xd3a7accc8a12af3a397d37b6e81a8b15e3cda50d,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0.039,21000,9.784454655,0.000205473547755,2024-11-04 20:40:35,True
0xe56ffc0d88ecbcacc25db1fc6f3b123e6f3205d413999ebd24b715177c9973a9,21116912,0xf4d87fd6de898ad7f5ca219a9f8389ee3280395c,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0.03171826059826119,21000,6.424405872,0.000134912523312,2024-11-04 21:16:23,True
0xb616fba820cca8ff83105e52c5a9fdd55dd75fda5e7b27b2203f18c4abba9cf0,21116939,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.06822706773826111,183911,5.666466559,0.001042125531332249,2024-11-04 21:21:47,True
0x5329292427be051283e2d6078a3aff982388aa99fee20f1911deb130552c0d46,21123073,0x1251518f10bfa74759b1e46510e9a5fb076d0c8a,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0.075,21000,15.832241979,0.000332477081559,2024-11-05 17:54:59,True
0x53550627d0eafd40725ce3dd77f6ecc9a4ca62b31bb8d47b6278988f4104e6b2,21123077,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.07170319943115369,183935,11.507116676,0.00211656150580006,2024-11-05 17:55:47,True
0x7da4044a3b068e4e9d80f94b7bb029351d3c75fb786cf1175d3d6b01e0763066,21128916,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0xf4d87fd6de898ad7f5ca219a9f8389ee3280395c,0.00222552829018886,21000,15.912963979,0.000334172243559,2024-11-06 13:30:23,True
0x0cbe759cb479c4260b441aaea16eedbfcb920495848ae56b0717686845d75b23,21128927,0xf4d87fd6de898ad7f5ca219a9f8389ee3280395c,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0.00129851263651286,21000,15.615860169,0.000327933063549,2024-11-06 13:32:35,True
0x9eeb1c8fdd347fe0fe4ef9ae9a96e6156fd8b3247d665983c2b2187a6cd13056,21187310,0x1251518f10bfa74759b1e46510e9a5fb076d0c8a,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0.06,21000,35.317326616,0.000741663858936,2024-11-14 17:05:11,True
0x799e302d13bccf466a1b1031b01a11a253fdbbe6c1406d459bbecdbfc8f4546d,21187336,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.0498948923029538,183923,28.650732923,0.005269528751396929,2024-11-14 17:10:35,True
0xf6846fef43219f2e16b5285c44df357b8088135b86451cf2c5e1642f0ff023df,21189264,0x1251518f10bfa74759b1e46510e9a5fb076d0c8a,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0.075,21000,31.902250865,0.000669947268165,2024-11-14 23:38:35,True
